證券代號,年季,　 營業收入,　　 旅遊服務收入,　　　 旅遊服務收入合計,　　 營業收入合計,　 營業成本,　　 旅遊服務成本（觀光飯店業適用）,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 餐旅服務收入,　　　　 餐旅服務收入淨額,　　　 餐旅服務成本,　　　　 餐旅服務成本合計
2722,2013年07月01日至2013年09月30日,,,,                250286,,,,                 85415,                164871,                164871,,,                  5291,,                 48062,                 53353,,,,                111518,,,                  2728,,                    475,                   -475,,                      4,                      4,                  2249,                113767,,                 19471,                 94296,                 94296,,,,,                    420,                 94716,,                              1.11,,                              1.11,                    420,,,,,,
2722,2013年04月01日至2013年06月30日,,,,                179841,,,,                 67597,                112244,                112244,,,                  6149,,                 45449,                 51598,,,,                 60646,,,                  1370,,                     37,                    -37,,                      6,                      6,                  1327,                 61973,,                 13578,                 48395,                 48395,,,,,                 -1862,                 46533,,                              0.57,,                              0.57,                 -1862,,,,,,
2722,2013年01月01日至2013年12月31日,,,                663225,                663225,,,                294558,                294558,                368667,                368667,,,                 22143,,                177875,                200018,,,,                168649,,,                  6688,,                  1126,                 -1126,,                     19,                     19,                  5543,                174192,,                 32395,                141797,                141797,,,,,                 -3571,                138226,,                              1.67,,                              1.67,                 -3245,                   -392,                     66,,,,
2722,2013年01月01日至2013年09月30日,,,,                545046,,,,                212287,                332759,                332759,,,                 16443,,                135428,                151871,,,,                180888,,,                  5391,,                    851,                   -851,,                     15,                     15,                  4525,                185413,,                 34217,                151196,                151196,,,,,                 -5348,                145848,,                              1.78,,                              1.78,                 -5348,,,,,,
2722,2013年01月01日至2013年06月30日,,,,                294760,,,,                126872,                167888,                167888,,,                 11152,,                 87366,                 98518,,,,                 69370,,,                  2663,,                    376,                   -376,,                     11,                     11,                  2276,                 71646,,                 14746,                 56900,                 56900,,,,,                 -5768,                 51132,,                              0.67,,                              0.67,                 -5768,,,,,,
2722,2013年01月01日至2013年03月31日,,,                114919,                114919,,,                 59275,                 59275,                 55644,                 55644,,,                  5003,,                 41917,                 46920,,,,                  8724,,,                  1293,,                    339,                   -339,,                      5,                      5,                    949,                  9673,,                  1168,                  8505,                  8505,,,,,                 -3906,                  4599,,                              0.11,,,                 -3906,,,,                114919,,                 59275
2722,2012年07月01日至2012年09月30日,,,,                233334,,,,                 79634,                153700,                153700,,,                  6435,,                 48211,                 54646,,,,                 99054,,,                  2130,,                    757,                   -757,,                      6,                      6,                  1367,                100421,,                 17075,                 83346,                 83346,,,,,                  4050,                 87396,,                              0.98,,                              0.98,                  4050,,,,,,
2722,2012年04月01日至2012年06月30日,,,,                157452,,,,                 63795,                 93657,                 93657,,,                  5565,,                 42018,                 47583,,,,                 46074,,,                  1964,,                    494,                   -494,,                     33,                     33,                  1437,                 47511,,                 10620,                 36891,                 36891,,,,,                              0,                 36891,,                              0.43,,                              0.43,                              0,,,,,,
2722,2012年01月01日至2012年12月31日,,,                622468,                622468,,,                265705,                265705,                356763,                356763,,,                 22600,,                166116,                188716,,,,                168047,,,                  8691,,                  1814,                 -1814,,                    834,                    834,                  6043,                174090,,                 32676,                141414,                141414,,,,,                  3661,                145075,,                              1.70,,                              1.70,                  5792,                 -2568,                    437,,,,
2722,2012年01月01日至2012年09月30日,,,,                501371,,,,                202435,                298936,                298936,,,                 16527,,                126006,                142533,,,,                156403,,,                  4979,,                  1512,                 -1512,,                    828,                    828,                  2639,                159042,,                 29584,                129458,                129458,,,,,                  4050,                133508,,                              1.56,,                              1.56,                  4050,,,,,,
2722,2012年01月01日至2012年06月30日,,,,                268037,,,,                122801,                145236,                145236,,,                 10092,,                 77795,                 87887,,,,                 57349,,,                  2849,,                    755,                   -755,,                    822,                    822,                  1272,                 58621,,                 12509,                 46112,                 46112,,,,,                              0,                 46112,,                              0.56,,                              0.56,                              0,,,,,,
2722,2012年01月01日至2012年03月31日,,,                110585,                110585,,,                 59006,                 59006,                 51579,                 51579,,,                  4527,,                 35777,                 40304,,,,                 11275,,,                    885,,                    261,                   -261,,                    789,                    789,                   -165,                 11110,,                  1889,                  9221,                  9221,,,,,                              0,                  9221,,                              0.13,,,                              0,,,,                110585,,                 59006
