證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 育樂收入,　　　　 育樂收入淨額,　　　 旅遊服務收入合計,　　 營業收入合計,　 營業成本,　　 租賃成本,　　　 租賃成本合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 育樂成本,　　　　 育樂成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　 本期所得稅費用（利益）,　　　 處分投資利益,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 當期所得稅費用（利益）
2701,2015年第3季,,,                 46000,,,                 63561,                 63561,                109561,,,                  9094,,,                 51764,                 51764,                 60858,                 48703,                 48703,,                  6927,                 41776,,,,                  3102,                 19595,                  1742,                 24439,,                    345,                   -345,,                 71692,                 95786,                137562,,                 20055,                117507,                117507,,,                              0,                              0,                              0,,                139352,                -42424,                 23689,                 73239,                 73239,                190746,,                              0.30,,,,,,,,,,
2701,2015年第2季,,,                 46157,,,                 56080,                 56080,                102237,,,                  9077,,,                 45362,                 45362,                 54439,                 47798,                 47798,,                  7321,                 40477,,,,                  3204,                 18524,                  2561,                 24289,,                    359,                   -359,,                 57869,                 81799,                122276,,                 17913,                104363,                104363,,,,,,,                -29369,                -13816,                 -4992,                -38193,                -38193,                 66170,,                              0.28,                              0,,,,,,,,,
2701,2015年01月01日至2015年09月30日,,,                138066,,,                169067,                169067,                307133,,,                 27288,,,                137044,                137044,                164332,                142801,                142801,,                 21245,                121556,,,,                  9106,                 38119,                  6077,                 53302,,                  1040,                 -1040,,                164142,                216404,                337960,,                 51268,                286692,                286692,,,                              0,                              0,                              0,,                 86934,                 19760,                 14778,                 91916,                 91916,                378608,,                              0.72,,,,,,,,,,
2701,2015年01月01日至2015年06月30日,,,                 92066,,,                105506,                105506,                197572,,,                 18194,,,                 85280,                 85280,                103474,                 94098,                 94098,,                 14318,                 79780,,,,                  6004,                 18524,                  4335,                 28863,,                    695,                   -695,,                 92450,                120618,                200398,,                 31213,                169185,                169185,,,,,,,                -52418,                 62184,                 -8911,                 18677,                 18677,                187862,,                              0.45,                              0,,,,,,,,,
2701,2015年01月01日至2015年03月31日,,,                 45909,,,                 49426,                 49426,                 95335,,,                  9117,,,                 39918,                 39918,                 49035,                 46300,                 46300,,                  6997,                 39303,,,,                  2800,,                  1774,                  4574,,                    336,                   -336,,                 34581,                 38819,                 78122,,                 13300,                 64822,                 64822,,,,,,,                -23049,                 76000,                 -3919,                 56870,                 56870,                121692,,                              0.17,                              0,                 13300,,,,,,,,
2701,2014年第3季,,,                 45365,,,                 57310,                 57310,                102675,,,                  9681,,,                 46856,                 46856,                 56537,                 46138,                 46138,,                  8041,                 38097,,,,                  2606,                 14331,                  2441,                 19378,,                    346,                   -346,,                 57653,                 76685,                114782,,                 17089,                 97693,                 97693,,,                              0,                              0,                              0,,                 35625,                115097,                  6056,                144666,                144666,                242359,,                              0.25,,,,,,,,,,
2701,2014年第2季,,,                 45038,,,                 44030,                 44030,                 89068,,,                  9689,,,                 35450,                 35450,                 45139,                 43929,                 43929,,                  6857,                 37072,,,,                  2808,                 16608,                  1652,                 21068,,                    359,                   -359,,                 46967,                 67676,                104748,,                 15305,                 89443,                 89443,,,,,,,                -37601,                 13532,                 -6392,                -17677,                -17677,                 71766,,                              0.24,                              0,,,,,,,,,
2701,2014年度,,,                183221,,,                188950,                188950,                372171,,,                 39115,,,                152791,                152791,                191906,                180265,                180265,,                 31423,                148842,,,,                 10682,                 30939,                  8668,                 50289,,                  1376,                  1340,,                130828,                182457,                331299,,                 50949,                280350,                280350,,,,,,,,,,,                240524,                520874,,                              0.74,                              0,,                  2716,,                              0,                118048,                142626,                    -81,                -20069,
2701,2014年01月01日至2014年09月30日,,,                135463,,,                145322,                145322,                280785,,,                 29024,,,                117934,                117934,                146958,                133827,                133827,,                 21657,                112170,,,,                  7742,                 30939,                  5774,                 44455,,                  1041,                 -1041,,                121566,                164980,                277150,,                 42208,                234942,                234942,,,                              0,                              0,                              0,,                 38594,                141075,                  6561,                173108,                173108,                408050,,                              0.59,,,,,,,,,,
2701,2014年01月01日至2014年06月30日,,,                 90098,,,                 88012,                 88012,                178110,,,                 19343,,,                 71078,                 71078,                 90421,                 87689,                 87689,,                 13616,                 74073,,,,                  5136,                 16608,                  3333,                 25077,,                    695,                   -695,,                 63913,                 88295,                162368,,                 25119,                137249,                137249,,,,,,,                  2969,                 25978,                    505,                 28442,                 28442,                165691,,                              0.36,                              0,,,,,,,,,
